"areaovacres"|"lareaovkey"|"mukey"|"muareaovkey"
802|549991|578203|33016229
13300|549986|578204|33016206
13300|549987|578204|33016207
13300|549988|578204|33016208
13300|549989|578204|33016209
13300|549990|578204|33016210
13300|549991|578204|33016211
2467|549986|578205|33016230
2467|549987|578205|33016231
2467|549988|578205|33016232
2467|549989|578205|33016233
2467|549990|578205|33016234
2467|549991|578205|33016235
23424|549986|578206|33016524
23424|549987|578206|33016525
23424|549988|578206|33016526
23424|549989|578206|33016527
23424|549990|578206|33016528
23424|549991|578206|33016529
59204|549986|578208|33016470
59204|549987|578208|33016471
59204|549988|578208|33016472
59204|549989|578208|33016473
59204|549990|578208|33016474
59204|549991|578208|33016475
1331|549986|578209|33016194
1331|549987|578209|33016195
1331|549988|578209|33016196
1331|549989|578209|33016197
1331|549990|578209|33016198
1331|549991|578209|33016199
271|549986|578210|33016236
271|549987|578210|33016237
271|549988|578210|33016238
271|549989|578210|33016239
271|549990|578210|33016240
271|549991|578210|33016241
7873|549986|578211|33016476
7873|549987|578211|33016477
7873|549988|578211|33016478
7873|549989|578211|33016479
7873|549990|578211|33016480
7873|549991|578211|33016481
15760|549986|578212|33016452
15760|549987|578212|33016453
15760|549988|578212|33016454
15760|549989|578212|33016455
15760|549990|578212|33016456
15760|549991|578212|33016457
10758|549986|578213|33016458
10758|549987|578213|33016459
10758|549988|578213|33016460
10758|549989|578213|33016461
10758|549990|578213|33016462
10758|549991|578213|33016463
513|549986|578214|33016242
513|549987|578214|33016243
513|549988|578214|33016244
513|549989|578214|33016245
513|549990|578214|33016246
513|549991|578214|33016247
5899|549986|578215|33016494
5899|549987|578215|33016495
5899|549988|578215|33016496
5899|549989|578215|33016497
5899|549990|578215|33016498
5899|549991|578215|33016499
1633|549986|578216|33016152
1633|549987|578216|33016153
1633|549988|578216|33016154
1633|549989|578216|33016155
1633|549990|578216|33016156
1633|549991|578216|33016157
3582|549986|578217|33016248
3582|549987|578217|33016249
3582|549988|578217|33016250
3582|549989|578217|33016251
3582|549990|578217|33016252
3582|549991|578217|33016253
2965|549986|578218|33016518
2965|549987|578218|33016519
2965|549988|578218|33016520
2965|549989|578218|33016521
2965|549990|578218|33016522
2965|549991|578218|33016523
248|549986|578220|33016134
248|549987|578220|33016135
248|549988|578220|33016136
248|549989|578220|33016137
248|549990|578220|33016138
248|549991|578220|33016139
1980|549986|578221|33016254
1980|549987|578221|33016255
1980|549988|578221|33016256
1980|549989|578221|33016257
1980|549990|578221|33016258
1980|549991|578221|33016259
26577|549986|578222|33016482
26577|549987|578222|33016483
26577|549988|578222|33016484
26577|549989|578222|33016485
26577|549990|578222|33016486
26577|549991|578222|33016487
9113|549986|578223|33016260
9113|549987|578223|33016261
9113|549988|578223|33016262
9113|549989|578223|33016263
9113|549990|578223|33016264
9113|549991|578223|33016265
19614|549986|578224|33016266
19614|549987|578224|33016267
19614|549988|578224|33016268
19614|549989|578224|33016269
19614|549990|578224|33016270
19614|549991|578224|33016271
1358|549986|578225|33016272
1358|549987|578225|33016273
1358|549988|578225|33016274
1358|549989|578225|33016275
1358|549990|578225|33016276
1358|549991|578225|33016277
4161|549986|578226|33016278
4161|549987|578226|33016279
4161|549988|578226|33016280
4161|549989|578226|33016281
4161|549990|578226|33016282
4161|549991|578226|33016283
43472|549986|578227|33016182
43472|549987|578227|33016183
43472|549988|578227|33016184
43472|549989|578227|33016185
43472|549990|578227|33016186
43472|549991|578227|33016187
2312|549986|578228|33016284
2312|549987|578228|33016285
2312|549988|578228|33016286
2312|549989|578228|33016287
2312|549990|578228|33016288
2312|549991|578228|33016289
47388|549986|578229|33016146
47388|549987|578229|33016147
47388|549988|578229|33016148
47388|549989|578229|33016149
47388|549990|578229|33016150
47388|549991|578229|33016151
764|549986|578230|33016512
764|549987|578230|33016513
764|549988|578230|33016514
764|549989|578230|33016515
764|549990|578230|33016516
764|549991|578230|33016517
9933|549986|578231|33016158
9933|549987|578231|33016159
9933|549988|578231|33016160
9933|549989|578231|33016161
9933|549990|578231|33016162
9933|549991|578231|33016163
387|549986|578232|33016290
387|549987|578232|33016291
387|549988|578232|33016292
387|549989|578232|33016293
387|549990|578232|33016294
387|549991|578232|33016295
2794|549986|578233|33016488
2794|549987|578233|33016489
2794|549988|578233|33016490
2794|549989|578233|33016491
2794|549990|578233|33016492
2794|549991|578233|33016493
572|549986|578234|33016164
