"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"SC"|"No "|72024952|133852150
"SP-SC"|"No "|72024330|133850930
"SP-SM"|"Yes"|72024330|133850931
"SP-SC"|"No "|72024331|133850932
"SP-SM"|"Yes"|72024331|133850933
"SC-SM"|"No "|72024910|133852074
"SC"|"Yes"|72024910|133852075
"SC"|"No "|72024911|133852076
"CL"|"Yes"|72024911|133852077
"SP-SM"|"Yes"|72024637|133851536
"SP-SM"|"Yes"|72024638|133851537
"CH"|"Yes"|72025097|133852436
"SC"|"No "|72025097|133852437
"CH"|"Yes"|72025096|133852434
"SC"|"No "|72025096|133852435
"SC"|"Yes"|72025098|133852438
"SC-SM"|"No "|72025098|133852439
"SC-SM"|"Yes"|72024753|133851764
"SM"|"No "|72024753|133851765
"CH"|"Yes"|72024752|133851762
"CL"|"No "|72024752|133851763
"SC-SM"|"Yes"|72025202|133852630
"CL"|"No "|72025202|133852631
"CH"|"Yes"|72025201|133852628
"CL"|"No "|72025201|133852629
"GC"|"Yes"|72024561|133851396
"CL"|"No "|72024561|133851397
"SC"|"No "|72024561|133851398
"GC"|"Yes"|72024562|133851399
"CH"|"No "|72024562|133851400
"SC"|"No "|72024562|133851401
"SC-SM"|"Yes"|72024565|133851404
"CL"|"No "|72024565|133851405
"CH"|"Yes"|72024563|133851402
"SC"|"No "|72024563|133851403
"CH"|"Yes"|72024755|133851766
"CL"|"No "|72024755|133851767
"SC-SM"|"Yes"|72024756|133851768
"CL"|"No "|72024756|133851769
"CL"|"Yes"|72025207|133852639
"CH"|"No "|72025207|133852640
"CL"|"Yes"|72025209|133852643
"ML"|"No "|72025209|133852644
"CL"|"Yes"|72025208|133852641
"CH"|"No "|72025208|133852642
"ML"|"Yes"|72024760|133851773
"CL-ML"|"No "|72024760|133851774
"SM"|"No "|72024760|133851775
"ML"|"Yes"|72024759|133851770
"CL-ML"|"No "|72024759|133851771
"SM"|"No "|72024759|133851772
"CL"|"No "|72024350|133850970
"CH"|"Yes"|72024350|133850971
"CL"|"No "|72024351|133850972
"CH"|"Yes"|72024351|133850973
"SM"|"No "|72024352|133850974
"CL"|"No "|72024352|133850975
"ML"|"Yes"|72024352|133850976
"SM"|"No "|72024353|133850977
"CL"|"No "|72024353|133850978
"ML"|"Yes"|72024353|133850979
