"musym"|"muname"|"mustatus"|"slopegraddcp"|"slopegradwta"|"brockdepmin"|"wtdepannmin"|"wtdepaprjunmin"|"flodfreqdcd"|"flodfreqmax"|"pondfreqprs"|"aws025wta"|"aws050wta"|"aws0100wta"|"aws0150wta"|"drclassdcd"|"drclasswettest"|"hydgrpdcd"|"iccdcd"|"iccdcdpct"|"niccdcd"|"niccdcdpct"|"engdwobdcd"|"engdwbdcd"|"engdwbll"|"engdwbml"|"engstafdcd"|"engstafll"|"engstafml"|"engsldcd"|"engsldcp"|"englrsdcd"|"engcmssdcd"|"engcmssmp"|"urbrecptdcd"|"urbrecptwta"|"forpehrtdcp"|"hydclprs"|"awmmfpwwta"|"mukey"
"Ow"|"Owentown fine sandy loam, 0 to 1 percent slopes, occasionally flooded"||0.5|0.5||108|108|"Occasional"|"Occasional"|0|3.5|7|14|21|"Moderately well drained"|"Moderately well drained"|"B"|2|90|2|90|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Fair"|"Not rated"|"Not limited"|0|"Slight"|5|0.6|578236
"PrC"|"Pirkey very fine sandy loam, 1 to 5 percent slopes"||3|3.2||||"None"|"None"|0|3.25|6.5|13|19.5|"Well drained"|"Well drained"|"C"||100|4|95|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.028|"Moderate"|0|1|578237
"PrD"|"Pirkey very fine sandy loam, 5 to 12 percent slopes"||9|8.9||||"None"|"None"|0|3.25|6.5|13|19.5|"Well drained"|"Well drained"|"C"||100|6|95|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.029|"Severe"|0|1|578238
"Pt"|"Pits"|||||||""|""|0|||||""|""|"D"||100|8|100|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"||"Not rated"|0||578239
"ReC"|"Redsprings gravelly fine sandy loam, 2 to 5 percent slopes"||4|5.2|112|||"None"|"None"|0|2.52|5.52|11.91|17.76|"Well drained"|"Well drained"|"C"||100|3|80|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Somewhat limited"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Fair"|"Somewhat limited"|0.283|"Moderate"|0|1|578240
"ReE"|"Redsprings gravelly fine sandy loam, 5 to 15 percent slopes"||10|9.6|114|||"None"|"None"|0|2.25|5.5|12|17.78|"Well drained"|"Well drained"|"C"||100|6|95|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.116|"Moderate"|0|1|578241
"ReG"|"Redsprings gravelly fine sandy loam, 15 to 40 percent slopes"||28|26.7|142|||"None"|"None"|0|2.73|5.98|12.48|18.82|"Well drained"|"Well drained"|"C"||100|7|95|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Severe"|0|1|578242
"RgC"|"Redsprings soils, graded, 2 to 5 percent slopes"||4|4|112|||"None"|"None"|0|3.3|6.55|13.05|18.79|"Well drained"|"Well drained"|"C"||100|6|95|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.225|"Slight"|0|1|578243
"RzB"|"Rentzel loamy fine sand, 0 to 5 percent slopes"||2|1.9||53||"None"|"None"|0|1.75|3.5|8.56|15.06|"Moderately well drained"|"Moderately well drained"|"C/D"|3|90|3|90|"Somewhat limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.762|"Slight"|5|1|578244
"SaB"|"Sacul fine sandy loam, 1 to 3 percent slopes"||2|2.2||94|94|"None"|"None"|0|3.05|7.3|15.8|24.15|"Moderately well drained"|"Moderately well drained"|"D"|3|92|3|92|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Not limited"|"Not limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.089|"Slight"|0|1|578245
"StB"|"Sawlit loam, 0 to 2 percent slopes"||1|1||84|84|"None"|"None"|0|3.64|7.69|15.57|23.07|"Moderately well drained"|"Moderately well drained"|"C"||95|2|90|"Not limited"|"Somewhat limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.184|"Slight"|5|1|578246
"SwA"|"Sawlit-Sawtown complex, 0 to 2 percent slopes"||1|1||84|84|"None"|"None"|0|3.62|7.46|14.99|22.39|"Moderately well drained"|"Moderately well drained"|"C"||95|2|95|"Not limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Poor"|"Somewhat limited"|0.172|"Slight"|5|1|578247
"TeE"|"Tenaha loamy fine sand, 5 to 15 percent slopes"||12|10.3|112|||"None"|"None"|0|2|4|8.55|14.29|"Well drained"|"Well drained"|"B"||100|6|80|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Somewhat limited"|"Not rated"|"Not rated"|"Very limited"|"Very limited"|"Somewhat limited"|"Fair"|"Not rated"|"Somewhat limited"|0.664|"Moderate"|5|1|578248
"ToC"|"Tonkawa fine sand, 1 to 8 percent slopes"||5|5||||"None"|"None"|0|1.5|3|6|9|"Excessively drained"|"Excessively drained"|"A"|4|85|4|85|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Good"|"Good"|"Very limited"|1|"Moderate"|0|1|578249
"ToE"|"Tonkawa fine sand, 8 to 15 percent slopes"||12|12.1||||"None"|"None"|0|1.53|3.05|6.23|9.37|"Excessively drained"|"Excessively drained"|"A"||95|6|90|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Somewhat limited"|"Fair"|"Not rated"|"Very limited"|1|"Moderate"|5|1|578250
"ToG"|"Tonkawa fine sand, 15 to 35 percent slopes"||25|23.8||||"None"|"None"|0|1.53|3.05|6.23|9.37|"Excessively drained"|"Excessively drained"|"A"||95|7|95|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Fair"|"Not rated"|"Very limited"|1|"Severe"|5|1|578251
"UtB"|"Ulto fine sandy loam, 1 to 3 percent slopes"||2|2|142|||"None"|"None"|2|2.75|5.9|12.4|18.9|"Well drained"|"Well drained"|"B"||100|2|90|"Somewhat limited"|"Somewhat limited"|"Not rated"|"Not rated"|"Somewhat limited"|"Not rated"|"Not rated"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Not rated"|"Somewhat limited"|0.002|"Slight"|2|0.107|578252
"WoB"|"Woden fine sandy loam, 1 to 3 percent slopes"||2|2||||"None"|"None"|0|3.5|7.22|14.72|22.22|"Well drained"|"Well drained"|"A"||100|2|90|"Not limited"|"Not limited"|"Not limited"|"Not rated"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Not limited"|"Fair"|"Not rated"|"Somewhat limited"|0.003|"Slight"|0|0.45|578255
"WtB"|"Woodtell loam, 1 to 3 percent slopes"||2|2|132|||"None"|"None"|0|3.45|7.21|14.72|21.51|"Well drained"|"Well drained"|"D"||98|3|95|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Poor"|"Not rated"|"Somewhat limited"|0.199|"Slight"|0|1|578256
"WtE"|"Woodtell loam, 5 to 15 percent slopes"||10|10.3|130|||"None"|"None"|0|4.08|7.78|15.33|22.68|"Well drained"|"Well drained"|"D"||97|6|95|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Not rated"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Not rated"|"Very limited"|1|"Severe"|0|1|578257
"M-W"|"Miscellaneous water"|||||||""|""|0|||||""|""|"D"||100|8|100|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"||"Not rated"|0||578258
"W"|"Water"|||||||""|""|0|||||""|""|"D"||100|8|100|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"||"Not rated"|0||578259
"DAM"|"Dams"|||||||""|""|0|||||""|""|"D"||100|7|100|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"|"Not rated"||"Not rated"|0||1479251
"MtC"|"Hallsummit fine sandy loam, 2 to 5 percent slopes"||4|3.8||||"None"|"None"|0|3.73|7.85|16.29|24.36|"Well drained"|"Well drained"|"C"||90|3|90|"Somewhat limited"|"Somewhat limited"|"Not limited"|"Somewhat limited"|"Very limited"|"Somewhat limited"|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Poor"|"Fair"|"Somewhat limited"|0.052|"Moderate"|0|0.505|2811586
"EasE"|"Eastwood very fine sandy loam, 5 to 20 percent slopes"||13|11.9||||"None"|"None"|0|3.54|7.32|15.22|22.9|"Well drained"|"Well drained"|"D"|6|90|6|90|"Very limited"|"Somewhat limited"|"Somewhat limited"|"Somewhat limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Very limited"|"Poor"|"Poor"|"Very limited"|0.905|"Severe"|0|1|3009438
