"aashtocl"|"rvindicator"|"chkey"|"chaashtokey"
"A-4"|"Yes"|72024352|117698236
"A-4"|"Yes"|72024353|117698237
"A-6"|"No "|72024354|117698238
"A-7-6"|"Yes"|72024354|117698239
"A-7-6"|"Yes"|72024762|117698955
"A-6"|"No "|72024762|117698956
"A-4"|"Yes"|72024763|117698957
"A-6"|"No "|72024763|117698958
"A-7-5"|"No "|72024761|117698952
"A-6"|"No "|72024761|117698953
"A-7-6"|"Yes"|72024761|117698954
"A-6"|"Yes"|72025010|117699379
"A-7-6"|"No "|72025010|117699380
"A-4"|"Yes"|72025009|117699376
"A-2-4"|"No "|72025009|117699377
"A-6"|"No "|72025009|117699378
"A-6"|"Yes"|72024954|117699282
"A-4"|"No "|72024954|117699283
"A-4"|"Yes"|72024955|117699284
"A-4"|"Yes"|72025112|117699561
"A-6"|"Yes"|72025114|117699564
"A-4"|"No "|72025114|117699565
"A-6"|"Yes"|72025115|117699566
"A-2-4"|"No "|72025113|117699562
"A-4"|"Yes"|72025113|117699563
"A-7-6"|"Yes"|72024768|117698964
"A-7-6"|"Yes"|72024769|117698965
"A-4"|"Yes"|72024766|117698962
"A-4"|"Yes"|72024767|117698963
"A-7-6"|"Yes"|72024770|117698966
"A-7-6"|"Yes"|72025148|117699622
"A-6"|"No "|72025146|117699619
"A-7-6"|"Yes"|72025146|117699620
"A-4"|"Yes"|72025145|117699617
"A-2-4"|"No "|72025145|117699618
"A-7-6"|"Yes"|72025147|117699621
"A-6"|"Yes"|72025151|117699625
"A-7-6"|"No "|72025151|117699626
"A-7-6"|"Yes"|72025155|117699632
"A-6"|"No "|72025155|117699633
"A-7-6"|"Yes"|72025153|117699629
"A-6"|"Yes"|72025152|117699627
"A-7-6"|"No "|72025152|117699628
"A-4"|"Yes"|72025150|117699624
"A-4"|"Yes"|72025149|117699623
"A-7-6"|"Yes"|72025154|117699630
"A-6"|"No "|72025154|117699631
"A-6"|"Yes"|72025052|117699466
"A-4"|"No "|72025052|117699467
"A-4"|"Yes"|72025050|117699463
"A-6"|"No "|72025053|117699468
"A-7-6"|"Yes"|72025053|117699469
"A-4"|"No "|72025051|117699464
"A-6"|"Yes"|72025051|117699465
"A-4"|"Yes"|72025049|117699462
"A-7-6"|"Yes"|72025054|117699470
"A-7-6"|"Yes"|72025059|117699479
"A-4"|"Yes"|72025058|117699477
"A-6"|"No "|72025058|117699478
"A-4"|"Yes"|72025056|117699473
"A-6"|"No "|72025056|117699474
"A-4"|"Yes"|72025057|117699475
"A-6"|"No "|72025057|117699476
"A-6"|"No "|72025055|117699471
"A-4"|"Yes"|72025055|117699472
"A-7-6"|"Yes"|72025062|117699482
"A-4"|"Yes"|72025060|117699480
"A-4"|"Yes"|72025061|117699481
"A-7-6"|"Yes"|72025064|117699484
"A-7-6"|"Yes"|72025063|117699483
"A-7-6"|"Yes"|72025070|117699492
"A-6"|"No "|72025070|117699493
"A-4"|"Yes"|72025065|117699485
"A-4"|"Yes"|72025066|117699486
"A-6"|"Yes"|72025068|117699489
"A-7-6"|"No "|72025068|117699490
"A-7-6"|"Yes"|72025069|117699491
"A-6"|"Yes"|72025067|117699487
"A-7-6"|"No "|72025067|117699488
"A-7-6"|"Yes"|72025071|117699494
"A-6"|"No "|72025071|117699495
"A-4"|"Yes"|72024720|117698889
"A-2-4"|"No "|72024720|117698890
"A-2-4"|"Yes"|72024721|117698891
"A-4"|"No "|72024721|117698892
"A-2-4"|"Yes"|72024722|117698893
"A-4"|"No "|72024722|117698894
"A-6"|"Yes"|72051476|117743257
"A-7-6"|"No "|72051476|117743258
"A-4"|"Yes"|72051477|117743259
"A-2-4"|"No "|72051477|117743260
"A-6"|"No "|72051477|117743261
"A-6"|"Yes"|72051857|117743960
"A-7-6"|"No "|72051857|117743961
"A-4"|"Yes"|72051856|117743957
"A-2-4"|"No "|72051856|117743958
"A-6"|"No "|72051856|117743959
"A-4"|"Yes"|72051538|117743390
"A-4"|"Yes"|72051537|117743389
"A-6"|"Yes"|72051539|117743391
"A-6"|"Yes"|72051540|117743392
"A-2-4"|"No "|72051540|117743393
"A-6"|"Yes"|72052015|117744247
"A-6"|"Yes"|72052016|117744248
"A-2-4"|"No "|72052016|117744249
